CUE,Nombre,Domicilio,Sendero,Ambito,BARRIO,Comuna,DE,X,Y,y_lat,x_long
203036,Jardin de Infantes Karibu,Nicaragua 5729,SE14AD,privada,PALERMO,14,9,102619,105409,-34.580495,-58.434756
200743,Esc. Primaria Comun Nº 05 DE 02º Ursula Llames de Lapuente,Gral. Lucio Norberto Mansilla 3643 - Republica Dominicana 3460/3472,SE14AE,publica,PALERMO,14,2,104446,104277,-34.590706,-58.414837
200095,Instituto Divino Corazon,Rep. Dominicana 3586,SE14AE,privada,PALERMO,14,2,104386,104385,-34.589733,-58.415491
201857,Instituto de Recreacion Infantil Mi Casita,Soler 3687,SE14AE,privada,PALERMO,14,2,104436,103975,-34.593428,-58.414944
202544,Jardin de Infantes Bloomies (sede),Guise 1790,SE14AE,privada,PALERMO,14,2,104519,104159,-34.591769,-58.41404
200212,Jardin de Infantes Integral Nº 05 DE 09º Jardin del Bosque,Av. del Libertador 4777,SE14AF,publica,PALERMO,14,9,102685,107186,-34.564489,-58.434041
200979,Esc. Primaria Comun Nº 05 DE 09º Honorable Congreso de la Nacion,Av. del Libertador 4777,SE14AF,publica,PALERMO,14,9,102685,107186,-34.564489,-58.434041
201000,Esc. Primaria Comun Nº 30 DE 09º Granaderos de San Martin,Av. del Libertador 4903,SE14AF,publica,PALERMO,14,9,102582,107251,-34.563903,-58.435164
201001,Jardin de Infantes Comun Nº 02 DE 09º Granaderos de San Martin,Av. del Libertador 4903,SE14AF,publica,PALERMO,14,9,102582,107251,-34.563903,-58.435164
201051,Esc. Tecnica Nº 03 Maria Sanchez de Thompson,Av. Cabildo 40,SE14AG,publica,PALERMO,14,9,102470,106048,-34.574748,-58.436381
202630,Escuela Infantil Cinco Soles,Zapata 50,SE14AG,privada,PALERMO,14,9,102345,105910,-34.575992,-58.437743
201052,Colegio Corazon de Jesus,Concepcion Arenal 2357 - Av. Cabildo 145,SE14AG,privada,PALERMO,14,9,102433,106174,-34.573612,-58.436784
201381,Instituto Washington School (sede),Av. Federico Lacroze 1973,SE14AH,privada,PALERMO,14,9,102018,107016,-34.566023,-58.441309
200977,Instituto Privado Colegio Master (sede),Olleros 2110,SE14AH,privada,PALERMO,14,9,102018,106790,-34.56806,-58.441309
201381,Instituto Washington School (anexo),Av. Federico Lacroze 2012,SE14AH,privada,PALERMO,14,9,102001,106934,-34.566762,-58.441494
203120,Kinder One,Av. Federico Lacroze 2105,SE14AH,privada,PALERMO,14,9,101923,106899,-34.567078,-58.442344
200437,Instituto Hogar San Benito,Arce 322,SE14AI,privada,PALERMO,14,9,102982,106454,-34.571087,-58.430802
200201,Colegio del Arce,Arce 334,SE14AI,privada,PALERMO,14,9,102975,106458,-34.571051,-58.430879
200800,Jardin de Infantes Nucleado A DE 09º [S] (EPC 10),Olleros 2325,SE14AJ,publica,PALERMO,14,9,101830,106631,-34.569494,-58.443357
200813,Esc. Primaria Comun Nº 10 DE 09º Manuel Lainez,Olleros 2325,SE14AJ,publica,PALERMO,14,9,101830,106631,-34.569494,-58.443357
200127,Instituto Sta. Maria de Lujan,3 de Febrero 760,SE14AJ,privada,PALERMO,14,9,102101,106450,-34.571125,-58.440403
200978,Colegio Lincoln,Olleros 2283,SE14AJ,privada,PALERMO,14,9,101878,106686,-34.568998,-58.442834
200188,Jardin de Infantes Comun Nº 06 DE 09º,Av. Santa Fe 5039,SE14AK,publica,PALERMO,14,9,102986,105844,-34.576586,-58.430757
200189,Esc. Primaria Comun Nº 06 DE 09º Vicente Fidel Lopez,Av. Santa Fe 5039,SE14AK,publica,PALERMO,14,9,102986,105844,-34.576586,-58.430757
202047,Instituto Modelo de Educacion Preescolar,Paraguay 5115,SE14AK,privada,PALERMO,14,9,103039,105479,-34.579876,-58.430178
202595,Escuela Infantil Querubines,Angel Justiniano Carranza 2390,SE14AK,privada,PALERMO,14,9,102867,105815,-34.576851,-58.432052
200337,Esc. de Educacion Especial (Niños y Jovenes con Pluridiscapacidad) Nº 26 Dr. Jorge Garber,Darregueyra 2460,SE14AL,publica,PALERMO,14,9,103589,105435,-34.580271,-58.424183
201331,Instituto San Ambrosio,Darregueyra 2445,SE14AL,privada,PALERMO,14,9,103606,105404,-34.58055,-58.423998
201332,Inst. Privado Colegio Palermo,Fray Justo Santa Maria de Oro 2363,SE14AL,privada,PALERMO,14,9,103463,105374,-34.580821,-58.425556
202857,Escuela Infantil Niños del Siglo XXI (sede),Güemes 4776,SE14AL,privada,PALERMO,14,9,103498,105397,-34.580613,-58.425175
200335,Instituto Ambrosio Tognoni,Av. Santa Fe 4320,SE14AM,privada,PALERMO,14,9,103695,105410,-34.580496,-58.423028
201957,Colegio Armonia (sede),Thames 2472,SE14AM,privada,PALERMO,14,9,103758,105295,-34.581532,-58.422341
200803,Jardin de Infantes Integral Nº 04 DE 09º,Paraguay 4301 - Armenia 2214,SE14AN,publica,PALERMO,14,9,103764,104798,-34.586012,-58.422273
200811,Esc. Primaria Comun Nº 17 DE 09º Blas Parera,Armenia 2214 - Paraguay 4301,SE14AN,publica,PALERMO,14,9,103772,104805,-34.585949,-58.422186
200835,Esc. de Educacion Media Nº 07 DE 09º Maria Claudia Falcone,Malabia 2148,SE14AN,publica,PALERMO,14,9,103775,104651,-34.587337,-58.422152
200808,Esc. Tecnica Nº 02 Osvaldo Magnasco,Av. Santa Fe 3727,SE14AO,publica,PALERMO,14,9,104323,104935,-34.584775,-58.416181
201083,Esc. de Educacion Especial (Niños con Discapacidad Mental) Nº 25 Macacha Güemes,Güemes 4059,SE14AO,publica,PALERMO,14,9,104156,104853,-34.585515,-58.418001
200123,Colegio de los Niños (anexo 2: Escuela Infantil El Patito Feo),Av. Raul Scalabrini Ortiz 2406,SE14AO,privada,PALERMO,14,9,104205,104811,-34.585893,-58.417466
200123,Colegio de los Niños (sede),Charcas 3949,SE14AO,privada,PALERMO,14,9,104050,104753,-34.586417,-58.419155
202672,Jardin Azul Naranja (sede),Güemes 4086,SE14AO,privada,PALERMO,14,9,104113,104857,-34.585479,-58.418469
200405,Esc. Integral Interdisciplinaria Nº 02,Jose Antonio Cabrera 4078,SE14AP,publica,PALERMO,14,2,103605,103649,-34.59637,-58.424001
201934,Grupo Caminantes,Gascon 1269,SE14AP,privada,PALERMO,14,2,103705,103721,-34.595721,-58.422911
202103,Instituto Federico Dominick,Gorriti 4079,SE14AP,privada,PALERMO,14,2,103746,103781,-34.59518,-58.422465
200336,Jardin de Infantes Nucleado C DE 09º (EPC 23),Thames 1361,SE14AQ,publica,PALERMO,14,9,102727,104375,-34.589828,-58.433575
200731,Esc. Primaria Comun Nº 23 DE 09º Dr. Jose Maria Bustillo,Thames 1361,SE14AQ,publica,PALERMO,14,9,102727,104375,-34.589828,-58.433575
201785,El Jardin de los Cerezos,Cnel. Niceto Vega 4950,SE14AQ,privada,PALERMO,14,9,102771,104219,-34.591235,-58.433095
200814,Instituto Esteban Agustin Gascon,Serrano 1261,SE14AQ,privada,PALERMO,14,9,102715,104223,-34.591199,-58.433705
201850,San Gregorio (anexo),Serrano 1320,SE14AQ,privada,PALERMO,14,9,102755,104292,-34.590577,-58.433269
201471,Jardin de Infantes Nucleado A DE 02º (EPC 04),Soler 3929,SE14AR,publica,PALERMO,14,2,104235,104157,-34.591789,-58.417136
201546,Esc. Primaria Comun Nº 04 DE 02º Amadeo Jacques,Soler 3929,SE14AR,publica,PALERMO,14,2,104235,104157,-34.591789,-58.417136
201472,Instituto Gonzalez Pecotche (sede),Vidt 1631,SE14AR,privada,PALERMO,14,2,104303,104156,-34.591797,-58.416395
201472,Instituto Gonzalez Pecotche (anexo 1),Soler 3847,SE14AR,privada,PALERMO,14,2,104303,104093,-34.592365,-58.416395
201472,Instituto Gonzalez Pecotche (anexo 2),Av. Cnel. Diaz 1774,SE14AS,privada,PALERMO,14,2,104729,104280,-34.590678,-58.411752
200718,Instituto Corazon de Maria,Guise 1979,SE14AS,privada,PALERMO,14,2,104687,104330,-34.590227,-58.41221
200479,Instituto San Martin de Tours (varones),Av. Pdte. Figueroa Alcorta 3380,SE14AT,privada,PALERMO,14,1,105503,105679,-34.578069,-58.40332
201690,Colegio San Martin de Tours (mujeres),Av. Ortiz de Ocampo 2840,SE14AT,privada,PALERMO,14,1,105515,105452,-34.580118,-58.403213
200547,Centro Educativo para Niños en Tiempos y Espacios Singulares Nº 02,Juan Francisco Segui 3755,SE14AU,publica,PALERMO,14,9,104784,105680,-34.578057,-58.41116
202937,Escuela Infantil Risas de la Tierra,Av. Cerviño 3760,SE14AU,privada,PALERMO,14,9,104697,105527,-34.579437,-58.412108
200646,Esc. Primaria Comun Nº 16 DE 01º Wenceslao Posse,Juncal 3131/3185,SE14AV,publica,PALERMO,14,1,105003,104835,-34.585673,-58.408768
200647,Jardin de Infantes Comun Nº 03 DE 01º Rayuela,Juncal 3185/3131,SE14AV,publica,PALERMO,14,1,105003,104835,-34.585673,-58.408768
200708,Esc. Normal Superior en Lenguas Vivas Sofia Esther Broquen de Spangenberg,Juncal 3251,SE14AV,publica,PALERMO,14,1,104856,104895,-34.585133,-58.410371
200976,Instituto Esquiu,11 de Septiembre de 1888 1240 - 3 de Febrero 1279,SE14AW,privada,PALERMO,14,9,101707,106885,-34.567204,-58.444698
201811,Escuela Comunitaria Arlene Fern,Arribeños 1300,SE14AW,privada,PALERMO,14,9,101774,107043,-34.56578,-58.443968
200717,Esc. Normal Superior Nº 06 Vicente Lopez y Planes,Güemes 3859,SE14AX,publica,PALERMO,14,2,104331,104700,-34.586893,-58.416092
203142,Escuela Infantil Chicos,Julian Alvarez 2488,SE14AX,privada,PALERMO,14,2,104473,104739,-34.586536,-58.414559
201468,Esc. Primaria Comun Nº 09 DE 02º Cnel. Genaro Beron de Astrada,El Salvador 4037,SE14AY,publica,PALERMO,14,2,103969,104062,-34.592646,-58.420035
201471,Jardin de Infantes Nucleado A DE 02º [S] (EPC 09),El Salvador 4037,SE14AY,publica,PALERMO,14,2,103969,104062,-34.592646,-58.420035
200916,Nueva Escuela Modelo Internacional,El Salvador 3952,SE14AY,privada,PALERMO,14,2,104103,104032,-34.592916,-58.418574
200918,Centro Educativo Arquidiocesano Espiritu Santo,Francisco Acuña de Figueroa 1742,SE14AY,privada,PALERMO,14,2,103919,104242,-34.591024,-58.420581
200912,Colegio Guadalupe,Paraguay 3925,SE14AZ,privada,PALERMO,14,2,104153,104434,-34.589292,-58.418031
